"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Perioden: 2016"
"";"";"Onderwerp"
"";"";"||Mannen";"Vrouwen"
"Regio's";"Leeftijd";"aantal";"aantal"
"Groningen (PV)";"16 jaar";"3409";"3185"
"Groningen (PV)";"17 jaar";"3445";"3233"
"Groningen (PV)";"18 jaar";"3754";"3895"
"Groningen (PV)";"19 jaar";"4456";"4942"
"Groningen (PV)";"20 tot 30 jaar";"47386";"45703"
"Groningen (PV)";"30 tot 40 jaar";"33541";"31374"
"Groningen (PV)";"40 tot 50 jaar";"39563";"38135"
"Groningen (PV)";"50 tot 60 jaar";"40675";"40475"
"Groningen (PV)";"60 tot 70 jaar";"37103";"36340"
"Groningen (PV)";"70 tot 80 jaar";"21157";"23461"
"Groningen (PV)";"80 tot 90 jaar";"8414";"13351"
"Groningen (PV)";"90 jaar of ouder";"1125";"3417"
"Friesland (PV)";"16 jaar";"4326";"4088"
"Friesland (PV)";"17 jaar";"4265";"4047"
"Friesland (PV)";"18 jaar";"4017";"3866"
"Friesland (PV)";"19 jaar";"3978";"3611"
"Friesland (PV)";"20 tot 30 jaar";"37518";"34125"
"Friesland (PV)";"30 tot 40 jaar";"35518";"33843"
"Friesland (PV)";"40 tot 50 jaar";"45921";"44565"
"Friesland (PV)";"50 tot 60 jaar";"46986";"46712"
"Friesland (PV)";"60 tot 70 jaar";"42844";"42318"
"Friesland (PV)";"70 tot 80 jaar";"26669";"28675"
"Friesland (PV)";"80 tot 90 jaar";"10019";"15744"
"Friesland (PV)";"90 jaar of ouder";"1348";"3746"
"Drenthe (PV)";"16 jaar";"3376";"3147"
"Drenthe (PV)";"17 jaar";"3297";"3066"
"Drenthe (PV)";"18 jaar";"3043";"2646"
"Drenthe (PV)";"19 jaar";"2770";"2220"
"Drenthe (PV)";"20 tot 30 jaar";"23408";"21478"
"Drenthe (PV)";"30 tot 40 jaar";"25120";"24859"
"Drenthe (PV)";"40 tot 50 jaar";"34732";"35070"
"Drenthe (PV)";"50 tot 60 jaar";"37467";"37734"
"Drenthe (PV)";"60 tot 70 jaar";"34512";"34632"
"Drenthe (PV)";"70 tot 80 jaar";"21049";"23286"
"Drenthe (PV)";"80 tot 90 jaar";"8743";"13172"
"Drenthe (PV)";"90 jaar of ouder";"1114";"3013"
"Overijssel (PV)";"16 jaar";"7655";"7256"
"Overijssel (PV)";"17 jaar";"7547";"7053"
"Overijssel (PV)";"18 jaar";"7251";"6754"
"Overijssel (PV)";"19 jaar";"7259";"6399"
"Overijssel (PV)";"20 tot 30 jaar";"72180";"66401"
"Overijssel (PV)";"30 tot 40 jaar";"67862";"65218"
"Overijssel (PV)";"40 tot 50 jaar";"81780";"79378"
"Overijssel (PV)";"50 tot 60 jaar";"80969";"79393"
"Overijssel (PV)";"60 tot 70 jaar";"69010";"68752"
"Overijssel (PV)";"70 tot 80 jaar";"41819";"46248"
"Overijssel (PV)";"80 tot 90 jaar";"16629";"26642"
"Overijssel (PV)";"90 jaar of ouder";"1956";"5644"
"Flevoland (PV)";"16 jaar";"2981";"2753"
"Flevoland (PV)";"17 jaar";"2977";"2765"
"Flevoland (PV)";"18 jaar";"2783";"2556"
"Flevoland (PV)";"19 jaar";"2680";"2386"
"Flevoland (PV)";"20 tot 30 jaar";"26175";"24785"
"Flevoland (PV)";"30 tot 40 jaar";"25723";"26694"
"Flevoland (PV)";"40 tot 50 jaar";"29548";"30562"
"Flevoland (PV)";"50 tot 60 jaar";"29829";"29733"
"Flevoland (PV)";"60 tot 70 jaar";"21804";"21262"
"Flevoland (PV)";"70 tot 80 jaar";"9697";"10353"
"Flevoland (PV)";"80 tot 90 jaar";"3531";"5178"
"Flevoland (PV)";"90 jaar of ouder";"454";"1098"
"Gelderland (PV)";"16 jaar";"13306";"12803"
"Gelderland (PV)";"17 jaar";"13416";"12647"
"Gelderland (PV)";"18 jaar";"12756";"12233"
"Gelderland (PV)";"19 jaar";"12613";"12223"
"Gelderland (PV)";"20 tot 30 jaar";"123052";"119698"
"Gelderland (PV)";"30 tot 40 jaar";"111800";"111439"
"Gelderland (PV)";"40 tot 50 jaar";"142950";"144290"
"Gelderland (PV)";"50 tot 60 jaar";"150980";"149232"
"Gelderland (PV)";"60 tot 70 jaar";"129490";"131935"
"Gelderland (PV)";"70 tot 80 jaar";"75699";"84895"
"Gelderland (PV)";"80 tot 90 jaar";"30232";"48201"
"Gelderland (PV)";"90 jaar of ouder";"3596";"10648"
"Utrecht (PV)";"16 jaar";"7844";"7446"
"Utrecht (PV)";"17 jaar";"7616";"7252"
"Utrecht (PV)";"18 jaar";"7486";"7465"
