"PROVINCIE";"Age";"Male";"Female"
"Groningen (PV)";"16 jaar";"3205";"3109"
"Groningen (PV)";"17 jaar";"3385";"3192"
"Groningen (PV)";"18 jaar";"3775";"4082"
"Groningen (PV)";"19 jaar";"4459";"4805"
"Groningen (PV)";"20 tot 30 jaar";"44994";"43531"
"Groningen (PV)";"30 tot 40 jaar";"35161";"33364"
"Groningen (PV)";"40 tot 50 jaar";"42549";"41489"
"Groningen (PV)";"50 tot 60 jaar";"39988";"39426"
"Groningen (PV)";"60 tot 70 jaar";"34710";"34041"
"Groningen (PV)";"70 tot 80 jaar";"18481";"21439"
"Groningen (PV)";"80 tot 90 jaar";"7563";"13320"
"Groningen (PV)";"90 jaar of ouder";"947";"3155"
"Friesland (PV)";"16 jaar";"4074";"3964"
"Friesland (PV)";"17 jaar";"4233";"3876"
"Friesland (PV)";"18 jaar";"4087";"3925"
"Friesland (PV)";"19 jaar";"4043";"3771"
"Friesland (PV)";"20 tot 30 jaar";"37619";"34360"
"Friesland (PV)";"30 tot 40 jaar";"37464";"36126"
"Friesland (PV)";"40 tot 50 jaar";"49967";"48096"
"Friesland (PV)";"50 tot 60 jaar";"45391";"45078"
"Friesland (PV)";"60 tot 70 jaar";"40648";"40185"
"Friesland (PV)";"70 tot 80 jaar";"22775";"25425"
"Friesland (PV)";"80 tot 90 jaar";"8979";"15309"
"Friesland (PV)";"90 jaar of ouder";"1105";"3316"
"Drenthe (PV)";"16 jaar";"3081";"2948"
"Drenthe (PV)";"17 jaar";"3015";"2934"
"Drenthe (PV)";"18 jaar";"2896";"2673"
"Drenthe (PV)";"19 jaar";"2783";"2334"
"Drenthe (PV)";"20 tot 30 jaar";"23742";"21849"
"Drenthe (PV)";"30 tot 40 jaar";"26678";"26802"
"Drenthe (PV)";"40 tot 50 jaar";"38190";"38120"
"Drenthe (PV)";"50 tot 60 jaar";"36526";"36578"
"Drenthe (PV)";"60 tot 70 jaar";"32344";"32315"
"Drenthe (PV)";"70 tot 80 jaar";"18561";"21312"
"Drenthe (PV)";"80 tot 90 jaar";"7455";"12476"
"Drenthe (PV)";"90 jaar of ouder";"909";"2672"
"Overijssel (PV)";"16 jaar";"6959";"6794"
"Overijssel (PV)";"17 jaar";"7260";"7004"
"Overijssel (PV)";"18 jaar";"7314";"6805"
"Overijssel (PV)";"19 jaar";"7121";"6533"
"Overijssel (PV)";"20 tot 30 jaar";"72410";"66610"
"Overijssel (PV)";"30 tot 40 jaar";"71077";"68624"
"Overijssel (PV)";"40 tot 50 jaar";"87413";"83903"
"Overijssel (PV)";"50 tot 60 jaar";"76656";"75236"
"Overijssel (PV)";"60 tot 70 jaar";"64330";"64311"
"Overijssel (PV)";"70 tot 80 jaar";"36678";"42739"
"Overijssel (PV)";"80 tot 90 jaar";"14610";"25478"
"Overijssel (PV)";"90 jaar of ouder";"1448";"4843"
"Flevoland (PV)";"16 jaar";"2750";"2623"
"Flevoland (PV)";"17 jaar";"3027";"2703"
"Flevoland (PV)";"18 jaar";"2794";"2545"
"Flevoland (PV)";"19 jaar";"2791";"2443"
"Flevoland (PV)";"20 tot 30 jaar";"25696";"25053"
"Flevoland (PV)";"30 tot 40 jaar";"25580";"27244"
"Flevoland (PV)";"40 tot 50 jaar";"32419";"32508"
"Flevoland (PV)";"50 tot 60 jaar";"27463";"27061"
"Flevoland (PV)";"60 tot 70 jaar";"18267";"17693"
"Flevoland (PV)";"70 tot 80 jaar";"7876";"8885"
"Flevoland (PV)";"80 tot 90 jaar";"3186";"4927"
"Flevoland (PV)";"90 jaar of ouder";"333";"913"
"Gelderland (PV)";"16 jaar";"12733";"12153"
"Gelderland (PV)";"17 jaar";"13095";"12489"
"Gelderland (PV)";"18 jaar";"12765";"12406"
"Gelderland (PV)";"19 jaar";"12701";"12290"
"Gelderland (PV)";"20 tot 30 jaar";"117096";"115157"
"Gelderland (PV)";"30 tot 40 jaar";"116371";"117424"
"Gelderland (PV)";"40 tot 50 jaar";"156624";"155111"
"Gelderland (PV)";"50 tot 60 jaar";"142735";"141633"
"Gelderland (PV)";"60 tot 70 jaar";"119092";"121435"
"Gelderland (PV)";"70 tot 80 jaar";"66048";"77847"
"Gelderland (PV)";"80 tot 90 jaar";"26032";"45779"
"Gelderland (PV)";"90 jaar of ouder";"2798";"8942"
"Utrecht (PV)";"16 jaar";"7134";"6776"
"Utrecht (PV)";"17 jaar";"7206";"7108"
"Utrecht (PV)";"18 jaar";"7373";"7569"
"Utrecht (PV)";"19 jaar";"7586";"8279"
"Utrecht (PV)";"20 tot 30 jaar";"80223";"86480"
"Utrecht (PV)";"30 tot 40 jaar";"82297";"84150"
"Utrecht (PV)";"40 tot 50 jaar";"95978";"95605"
"Utrecht (PV)";"50 tot 60 jaar";"80174";"81103"
"Utrecht (PV)";"60 tot 70 jaar";"62713";"65426"
"Utrecht (PV)";"70 tot 80 jaar";"33593";"40444"
"Utrecht (PV)";"80 tot 90 jaar";"13986";"24525"
"Utrecht (PV)";"90 jaar of ouder";"1639";"5394"
"Noord-Holland (PV)";"16 jaar";"15032";"14315"
"Noord-Holland (PV)";"17 jaar";"15329";"14685"
"Noord-Holland (PV)";"18 jaar";"15401";"15170"
"Noord-Holland (PV)";"19 jaar";"15920";"15888"
"Noord-Holland (PV)";"20 tot 30 jaar";"168895";"177077"
"Noord-Holland (PV)";"30 tot 40 jaar";"182324";"185824"
"Noord-Holland (PV)";"40 tot 50 jaar";"216473";"212028"
"Noord-Holland (PV)";"50 tot 60 jaar";"184359";"183045"
"Noord-Holland (PV)";"60 tot 70 jaar";"150549";"153785"
"Noord-Holland (PV)";"70 tot 80 jaar";"80171";"93755"
"Noord-Holland (PV)";"80 tot 90 jaar";"33228";"57150"
"Noord-Holland (PV)";"90 jaar of ouder";"4146";"12826"
"Zuid-Holland (PV)";"16 jaar";"20907";"19765"
"Zuid-Holland (PV)";"17 jaar";"21680";"20431"
"Zuid-Holland (PV)";"18 jaar";"22549";"20989"
"Zuid-Holland (PV)";"19 jaar";"23523";"21628"
"Zuid-Holland (PV)";"20 tot 30 jaar";"236140";"232101"
"Zuid-Holland (PV)";"30 tot 40 jaar";"232189";"233681"
"Zuid-Holland (PV)";"40 tot 50 jaar";"271768";"269369"
"Zuid-Holland (PV)";"50 tot 60 jaar";"237426";"239380"
"Zuid-Holland (PV)";"60 tot 70 jaar";"194232";"197787"
"Zuid-Holland (PV)";"70 tot 80 jaar";"106535";"125318"
"Zuid-Holland (PV)";"80 tot 90 jaar";"44910";"79081"
"Zuid-Holland (PV)";"90 jaar of ouder";"5630";"18100"
"Zeeland (PV)";"16 jaar";"2377";"2249"
"Zeeland (PV)";"17 jaar";"2399";"2351"
"Zeeland (PV)";"18 jaar";"2113";"2047"
"Zeeland (PV)";"19 jaar";"2118";"1941"
"Zeeland (PV)";"20 tot 30 jaar";"20010";"18339"
"Zeeland (PV)";"30 tot 40 jaar";"21194";"20811"
"Zeeland (PV)";"40 tot 50 jaar";"28690";"28518"
"Zeeland (PV)";"50 tot 60 jaar";"27117";"27335"
"Zeeland (PV)";"60 tot 70 jaar";"25680";"25947"
"Zeeland (PV)";"70 tot 80 jaar";"14720";"16354"
"Zeeland (PV)";"80 tot 90 jaar";"6517";"10410"
"Zeeland (PV)";"90 jaar of ouder";"946";"2587"
"Noord-Brabant (PV)";"16 jaar";"14954";"14340"
"Noord-Brabant (PV)";"17 jaar";"15557";"14901"
"Noord-Brabant (PV)";"18 jaar";"15413";"14240"
"Noord-Brabant (PV)";"19 jaar";"15599";"14488"
"Noord-Brabant (PV)";"20 tot 30 jaar";"148764";"139090"
"Noord-Brabant (PV)";"30 tot 40 jaar";"149658";"147663"
"Noord-Brabant (PV)";"40 tot 50 jaar";"195824";"191093"
"Noord-Brabant (PV)";"50 tot 60 jaar";"177117";"172881"
"Noord-Brabant (PV)";"60 tot 70 jaar";"150209";"147917"
"Noord-Brabant (PV)";"70 tot 80 jaar";"84766";"96816"
"Noord-Brabant (PV)";"80 tot 90 jaar";"30981";"53136"
"Noord-Brabant (PV)";"90 jaar of ouder";"2909";"9369"
"Limburg (PV)";"16 jaar";"6501";"6188"
"Limburg (PV)";"17 jaar";"6669";"6374"
"Limburg (PV)";"18 jaar";"6692";"6194"
"Limburg (PV)";"19 jaar";"6749";"6374"
"Limburg (PV)";"20 tot 30 jaar";"64422";"61190"
"Limburg (PV)";"30 tot 40 jaar";"60146";"59193"
"Limburg (PV)";"40 tot 50 jaar";"87564";"86559"
"Limburg (PV)";"50 tot 60 jaar";"89487";"87790"
"Limburg (PV)";"60 tot 70 jaar";"76544";"74386"
"Limburg (PV)";"70 tot 80 jaar";"44418";"51341"
"Limburg (PV)";"80 tot 90 jaar";"16500";"28931"
"Limburg (PV)";"90 jaar of ouder";"1478";"5141"
