"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Perioden: 2015"
"";"";"Onderwerp"
"";"";"||Mannen";"Vrouwen"
"Regio's";"Leeftijd";"aantal";"aantal"
"Noord-Holland (PV)";"30 tot 40 jaar";"178926";"182439"
"Noord-Holland (PV)";"40 tot 50 jaar";"206757";"205833"
"Noord-Holland (PV)";"50 tot 60 jaar";"194906";"193216"
"Noord-Holland (PV)";"60 tot 70 jaar";"159122";"162793"
"Noord-Holland (PV)";"70 tot 80 jaar";"90075";"101538"
"Noord-Holland (PV)";"80 tot 90 jaar";"35820";"57472"
"Noord-Holland (PV)";"90 jaar of ouder";"4957";"14142"
"Zuid-Holland (PV)";"16 jaar";"21164";"20408"
"Zuid-Holland (PV)";"17 jaar";"20951";"20033"
"Zuid-Holland (PV)";"18 jaar";"21972";"20389"
"Zuid-Holland (PV)";"19 jaar";"22731";"21270"
"Zuid-Holland (PV)";"20 tot 30 jaar";"242183";"236519"
"Zuid-Holland (PV)";"30 tot 40 jaar";"226853";"230357"
"Zuid-Holland (PV)";"40 tot 50 jaar";"259201";"260165"
"Zuid-Holland (PV)";"50 tot 60 jaar";"247769";"250537"
"Zuid-Holland (PV)";"60 tot 70 jaar";"206063";"211094"
"Zuid-Holland (PV)";"70 tot 80 jaar";"116688";"133392"
"Zuid-Holland (PV)";"80 tot 90 jaar";"49103";"79341"
"Zuid-Holland (PV)";"90 jaar of ouder";"6659";"19844"
"Zeeland (PV)";"16 jaar";"2428";"2330"
"Zeeland (PV)";"17 jaar";"2314";"2274"
"Zeeland (PV)";"18 jaar";"2241";"2044"
"Zeeland (PV)";"19 jaar";"2027";"1831"
"Zeeland (PV)";"20 tot 30 jaar";"20066";"18830"
"Zeeland (PV)";"30 tot 40 jaar";"20242";"19645"
"Zeeland (PV)";"40 tot 50 jaar";"27155";"27167"
"Zeeland (PV)";"50 tot 60 jaar";"27404";"27820"
"Zeeland (PV)";"60 tot 70 jaar";"26461";"26856"
"Zeeland (PV)";"70 tot 80 jaar";"16481";"17809"
"Zeeland (PV)";"80 tot 90 jaar";"6918";"10469"
"Zeeland (PV)";"90 jaar of ouder";"1070";"2935"
"Noord-Brabant (PV)";"16 jaar";"15482";"14819"
"Noord-Brabant (PV)";"17 jaar";"14979";"14490"
"Noord-Brabant (PV)";"18 jaar";"15338";"13919"
"Noord-Brabant (PV)";"19 jaar";"15156";"13983"
"Noord-Brabant (PV)";"20 tot 30 jaar";"155037";"144277"
"Noord-Brabant (PV)";"30 tot 40 jaar";"145495";"141529"
"Noord-Brabant (PV)";"40 tot 50 jaar";"184284";"181957"
"Noord-Brabant (PV)";"50 tot 60 jaar";"185073";"181585"
"Noord-Brabant (PV)";"60 tot 70 jaar";"157726";"155986"
"Noord-Brabant (PV)";"70 tot 80 jaar";"93837";"102772"
"Noord-Brabant (PV)";"80 tot 90 jaar";"35991";"57080"
"Noord-Brabant (PV)";"90 jaar of ouder";"3833";"11157"
"Limburg (PV)";"16 jaar";"6513";"6163"
"Limburg (PV)";"17 jaar";"6310";"6006"
"Limburg (PV)";"18 jaar";"6324";"6146"
"Limburg (PV)";"19 jaar";"6539";"6325"
"Limburg (PV)";"20 tot 30 jaar";"66075";"62857"
"Limburg (PV)";"30 tot 40 jaar";"58316";"56457"
"Limburg (PV)";"40 tot 50 jaar";"78589";"78238"
"Limburg (PV)";"50 tot 60 jaar";"90857";"89832"
"Limburg (PV)";"60 tot 70 jaar";"80597";"78879"
"Limburg (PV)";"70 tot 80 jaar";"48813";"53633"
"Limburg (PV)";"80 tot 90 jaar";"18866";"30593"
"Limburg (PV)";"90 jaar of ouder";"1923";"6148"
"Bron: CBS"
