"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Perioden: 2017"
"";"";"Onderwerp"
"";"";"||Mannen";"Vrouwen"
"Regio's";"Leeftijd";"aantal";"aantal"
"Groningen (PV)";"16 jaar";"3424";"3133"
"Groningen (PV)";"17 jaar";"3387";"3246"
"Groningen (PV)";"18 jaar";"3800";"3973"
"Groningen (PV)";"19 jaar";"4471";"4839"
"Groningen (PV)";"20 tot 30 jaar";"47595";"45673"
"Groningen (PV)";"30 tot 40 jaar";"33693";"31435"
"Groningen (PV)";"40 tot 50 jaar";"38461";"37162"
"Groningen (PV)";"50 tot 60 jaar";"40763";"40533"
"Groningen (PV)";"60 tot 70 jaar";"36481";"36001"
"Groningen (PV)";"70 tot 80 jaar";"22947";"24853"
"Groningen (PV)";"80 tot 90 jaar";"8658";"13347"
"Groningen (PV)";"90 jaar of ouder";"1167";"3459"
"Friesland (PV)";"16 jaar";"4380";"4219"
"Friesland (PV)";"17 jaar";"4357";"4131"
"Friesland (PV)";"18 jaar";"4228";"3959"
"Friesland (PV)";"19 jaar";"3950";"3770"
"Friesland (PV)";"20 tot 30 jaar";"37736";"34156"
"Friesland (PV)";"30 tot 40 jaar";"35725";"33895"
"Friesland (PV)";"40 tot 50 jaar";"44626";"43385"
"Friesland (PV)";"50 tot 60 jaar";"47305";"46954"
"Friesland (PV)";"60 tot 70 jaar";"42326";"41942"
"Friesland (PV)";"70 tot 80 jaar";"28552";"30328"
"Friesland (PV)";"80 tot 90 jaar";"10415";"15939"
"Friesland (PV)";"90 jaar of ouder";"1377";"3786"
"Drenthe (PV)";"16 jaar";"3387";"3192"
"Drenthe (PV)";"17 jaar";"3420";"3113"
"Drenthe (PV)";"18 jaar";"3247";"2873"
"Drenthe (PV)";"19 jaar";"2891";"2431"
"Drenthe (PV)";"20 tot 30 jaar";"23529";"21642"
"Drenthe (PV)";"30 tot 40 jaar";"25413";"25249"
"Drenthe (PV)";"40 tot 50 jaar";"33852";"34317"
"Drenthe (PV)";"50 tot 60 jaar";"37670";"37967"
"Drenthe (PV)";"60 tot 70 jaar";"34219";"34374"
"Drenthe (PV)";"70 tot 80 jaar";"22581";"24556"
"Drenthe (PV)";"80 tot 90 jaar";"9008";"13369"
"Drenthe (PV)";"90 jaar of ouder";"1147";"3048"
"Overijssel (PV)";"16 jaar";"7927";"7463"
"Overijssel (PV)";"17 jaar";"7758";"7294"
"Overijssel (PV)";"18 jaar";"7668";"6954"
"Overijssel (PV)";"19 jaar";"7374";"6698"
"Overijssel (PV)";"20 tot 30 jaar";"72424";"66170"
"Overijssel (PV)";"30 tot 40 jaar";"67937";"65472"
"Overijssel (PV)";"40 tot 50 jaar";"80043";"77778"
"Overijssel (PV)";"50 tot 60 jaar";"81964";"80017"
"Overijssel (PV)";"60 tot 70 jaar";"68588";"68527"
"Overijssel (PV)";"70 tot 80 jaar";"44557";"48698"
"Overijssel (PV)";"80 tot 90 jaar";"17267";"26946"
"Overijssel (PV)";"90 jaar of ouder";"2040";"5801"
"Flevoland (PV)";"16 jaar";"2943";"2834"
"Flevoland (PV)";"17 jaar";"3015";"2757"
"Flevoland (PV)";"18 jaar";"2940";"2663"
"Flevoland (PV)";"19 jaar";"2729";"2467"
"Flevoland (PV)";"20 tot 30 jaar";"26306";"24880"
"Flevoland (PV)";"30 tot 40 jaar";"26321";"26886"
"Flevoland (PV)";"40 tot 50 jaar";"28996";"30052"
"Flevoland (PV)";"50 tot 60 jaar";"30106";"30089"
"Flevoland (PV)";"60 tot 70 jaar";"22115";"21760"
"Flevoland (PV)";"70 tot 80 jaar";"10762";"11443"
"Flevoland (PV)";"80 tot 90 jaar";"3635";"5245"
"Flevoland (PV)";"90 jaar of ouder";"475";"1100"
"Gelderland (PV)";"16 jaar";"13824";"13344"
"Gelderland (PV)";"17 jaar";"13529";"12866"
"Gelderland (PV)";"18 jaar";"13507";"12695"
"Gelderland (PV)";"19 jaar";"12814";"12319"
"Gelderland (PV)";"20 tot 30 jaar";"124795";"120781"
"Gelderland (PV)";"30 tot 40 jaar";"113050";"112287"
"Gelderland (PV)";"40 tot 50 jaar";"139453";"140892"
"Gelderland (PV)";"50 tot 60 jaar";"152555";"150912"
"Gelderland (PV)";"60 tot 70 jaar";"128948";"131154"
"Gelderland (PV)";"70 tot 80 jaar";"81558";"90514"
"Gelderland (PV)";"80 tot 90 jaar";"31329";"48806"
"Gelderland (PV)";"90 jaar of ouder";"3845";"10859"
"Utrecht (PV)";"16 jaar";"8165";"7832"
"Utrecht (PV)";"17 jaar";"7926";"7486"
"Utrecht (PV)";"18 jaar";"7679";"7541"
