"PROVINCIE";"Age";"Male";"Female"
"Noord-Holland (PV)";"60 tot 70 jaar";"154263";"157771"
"Noord-Holland (PV)";"70 tot 80 jaar";"82562";"95132"
"Noord-Holland (PV)";"80 tot 90 jaar";"34127";"57308"
"Noord-Holland (PV)";"90 jaar of ouder";"4396";"13253"
"Zuid-Holland (PV)";"16 jaar";"20933";"19526"
"Zuid-Holland (PV)";"17 jaar";"20980";"19856"
"Zuid-Holland (PV)";"18 jaar";"22431";"20944"
"Zuid-Holland (PV)";"19 jaar";"23282";"21594"
"Zuid-Holland (PV)";"20 tot 30 jaar";"237781";"233693"
"Zuid-Holland (PV)";"30 tot 40 jaar";"228172";"230329"
"Zuid-Holland (PV)";"40 tot 50 jaar";"269091";"267949"
"Zuid-Holland (PV)";"50 tot 60 jaar";"239855";"242660"
"Zuid-Holland (PV)";"60 tot 70 jaar";"199275";"203317"
"Zuid-Holland (PV)";"70 tot 80 jaar";"108683";"126518"
"Zuid-Holland (PV)";"80 tot 90 jaar";"46296";"79441"
"Zuid-Holland (PV)";"90 jaar of ouder";"5868";"18701"
"Zeeland (PV)";"16 jaar";"2440";"2312"
"Zeeland (PV)";"17 jaar";"2334";"2164"
"Zeeland (PV)";"18 jaar";"2245";"2079"
"Zeeland (PV)";"19 jaar";"2009";"1936"
"Zeeland (PV)";"20 tot 30 jaar";"19973";"18444"
"Zeeland (PV)";"30 tot 40 jaar";"20587";"20396"
"Zeeland (PV)";"40 tot 50 jaar";"28558";"28269"
"Zeeland (PV)";"50 tot 60 jaar";"27103";"27496"
"Zeeland (PV)";"60 tot 70 jaar";"26031";"26374"
"Zeeland (PV)";"70 tot 80 jaar";"15173";"16625"
"Zeeland (PV)";"80 tot 90 jaar";"6645";"10452"
"Zeeland (PV)";"90 jaar of ouder";"969";"2686"
"Noord-Brabant (PV)";"16 jaar";"15087";"14077"
"Noord-Brabant (PV)";"17 jaar";"14995";"14422"
"Noord-Brabant (PV)";"18 jaar";"15625";"14659"
"Noord-Brabant (PV)";"19 jaar";"15358";"13960"
"Noord-Brabant (PV)";"20 tot 30 jaar";"150793";"141016"
"Noord-Brabant (PV)";"30 tot 40 jaar";"146762";"144285"
"Noord-Brabant (PV)";"40 tot 50 jaar";"193218";"189290"
"Noord-Brabant (PV)";"50 tot 60 jaar";"179367";"175497"
"Noord-Brabant (PV)";"60 tot 70 jaar";"153589";"151456"
"Noord-Brabant (PV)";"70 tot 80 jaar";"87191";"98037"
"Noord-Brabant (PV)";"80 tot 90 jaar";"32732";"54560"
"Noord-Brabant (PV)";"90 jaar of ouder";"3199";"9922"
"Limburg (PV)";"16 jaar";"6365";"6078"
"Limburg (PV)";"17 jaar";"6499";"6168"
"Limburg (PV)";"18 jaar";"6564";"6289"
"Limburg (PV)";"19 jaar";"6716";"6282"
"Limburg (PV)";"20 tot 30 jaar";"65515";"62128"
"Limburg (PV)";"30 tot 40 jaar";"58753";"57758"
"Limburg (PV)";"40 tot 50 jaar";"85163";"84238"
"Limburg (PV)";"50 tot 60 jaar";"89848";"88428"
"Limburg (PV)";"60 tot 70 jaar";"78207";"76039"
"Limburg (PV)";"70 tot 80 jaar";"45712";"52134"
"Limburg (PV)";"80 tot 90 jaar";"17299";"29475"
"Limburg (PV)";"90 jaar of ouder";"1611";"5434"
