"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Perioden: 2011"
"";"";"Onderwerp"
"";"";"||Mannen";"Vrouwen"
"Regio's";"Leeftijd";"aantal";"aantal"
"Groningen (PV)";"16 jaar";"3328";"3104"
"Groningen (PV)";"17 jaar";"3277";"3175"
"Groningen (PV)";"18 jaar";"3792";"3913"
"Groningen (PV)";"19 jaar";"4543";"5045"
"Groningen (PV)";"20 tot 30 jaar";"44203";"42466"
"Groningen (PV)";"30 tot 40 jaar";"36294";"34204"
"Groningen (PV)";"40 tot 50 jaar";"42600";"41666"
"Groningen (PV)";"50 tot 60 jaar";"39833";"39161"
"Groningen (PV)";"60 tot 70 jaar";"33733";"33307"
"Groningen (PV)";"70 tot 80 jaar";"18122";"21202"
"Groningen (PV)";"80 tot 90 jaar";"7443";"13444"
"Groningen (PV)";"90 jaar of ouder";"874";"2986"
"Friesland (PV)";"16 jaar";"4217";"3854"
"Friesland (PV)";"17 jaar";"4161";"4059"
"Friesland (PV)";"18 jaar";"4167";"3912"
"Friesland (PV)";"19 jaar";"4225";"3742"
"Friesland (PV)";"20 tot 30 jaar";"37670";"34567"
"Friesland (PV)";"30 tot 40 jaar";"38777";"37253"
"Friesland (PV)";"40 tot 50 jaar";"49938";"48261"
"Friesland (PV)";"50 tot 60 jaar";"45013";"44695"
"Friesland (PV)";"60 tot 70 jaar";"39830";"39056"
"Friesland (PV)";"70 tot 80 jaar";"22114";"25131"
"Friesland (PV)";"80 tot 90 jaar";"8683";"15191"
"Friesland (PV)";"90 jaar of ouder";"1020";"3175"
"Drenthe (PV)";"16 jaar";"3025";"2974"
"Drenthe (PV)";"17 jaar";"3032";"2989"
"Drenthe (PV)";"18 jaar";"2979";"2626"
"Drenthe (PV)";"19 jaar";"2656";"2419"
"Drenthe (PV)";"20 tot 30 jaar";"23829";"21996"
"Drenthe (PV)";"30 tot 40 jaar";"27610";"27935"
"Drenthe (PV)";"40 tot 50 jaar";"38576";"38434"
"Drenthe (PV)";"50 tot 60 jaar";"36210";"36013"
"Drenthe (PV)";"60 tot 70 jaar";"31626";"31645"
"Drenthe (PV)";"70 tot 80 jaar";"18007";"21142"
"Drenthe (PV)";"80 tot 90 jaar";"7268";"12345"
"Drenthe (PV)";"90 jaar of ouder";"841";"2490"
"Overijssel (PV)";"16 jaar";"7248";"7023"
"Overijssel (PV)";"17 jaar";"7317";"7122"
"Overijssel (PV)";"18 jaar";"7210";"6699"
"Overijssel (PV)";"19 jaar";"7261";"6592"
"Overijssel (PV)";"20 tot 30 jaar";"72332";"66539"
"Overijssel (PV)";"30 tot 40 jaar";"72775";"70308"
"Overijssel (PV)";"40 tot 50 jaar";"87541";"83920"
"Overijssel (PV)";"50 tot 60 jaar";"75646";"73973"
"Overijssel (PV)";"60 tot 70 jaar";"62639";"62705"
"Overijssel (PV)";"70 tot 80 jaar";"35917";"42525"
"Overijssel (PV)";"80 tot 90 jaar";"13871";"25109"
"Overijssel (PV)";"90 jaar of ouder";"1342";"4575"
"Flevoland (PV)";"16 jaar";"3016";"2714"
"Flevoland (PV)";"17 jaar";"2851";"2707"
"Flevoland (PV)";"18 jaar";"2870";"2535"
"Flevoland (PV)";"19 jaar";"2775";"2528"
"Flevoland (PV)";"20 tot 30 jaar";"25296";"24621"
"Flevoland (PV)";"30 tot 40 jaar";"26157";"27726"
"Flevoland (PV)";"40 tot 50 jaar";"32579";"32459"
"Flevoland (PV)";"50 tot 60 jaar";"26688";"26191"
"Flevoland (PV)";"60 tot 70 jaar";"17235";"16767"
"Flevoland (PV)";"70 tot 80 jaar";"7618";"8789"
"Flevoland (PV)";"80 tot 90 jaar";"3069";"4836"
"Flevoland (PV)";"90 jaar of ouder";"323";"814"
"Gelderland (PV)";"16 jaar";"13093";"12450"
"Gelderland (PV)";"17 jaar";"12962";"12506"
"Gelderland (PV)";"18 jaar";"12828";"12305"
"Gelderland (PV)";"19 jaar";"13003";"12470"
"Gelderland (PV)";"20 tot 30 jaar";"115560";"113827"
"Gelderland (PV)";"30 tot 40 jaar";"119932";"121153"
"Gelderland (PV)";"40 tot 50 jaar";"157835";"155517"
"Gelderland (PV)";"50 tot 60 jaar";"140433";"139680"
"Gelderland (PV)";"60 tot 70 jaar";"115903";"118093"
"Gelderland (PV)";"70 tot 80 jaar";"64294";"76940"
"Gelderland (PV)";"80 tot 90 jaar";"25122";"45136"
"Gelderland (PV)";"90 jaar of ouder";"2519";"8290"
"Utrecht (PV)";"16 jaar";"7183";"7043"
"Utrecht (PV)";"17 jaar";"7293";"7077"
"Utrecht (PV)";"18 jaar";"7440";"7603"
"Utrecht (PV)";"19 jaar";"7760";"8239"
