"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Perioden: 2010"
"";"";"Onderwerp"
"";"";"Mannen";"Vrouwen"
"Regio's";"Leeftijd";"aantal";"aantal"
"Groningen (PV)";"16 jaar";"3205";"3064"
"Groningen (PV)";"17 jaar";"3238";"3120"
"Groningen (PV)";"18 jaar";"3869";"4217"
"Groningen (PV)";"19 jaar";"4477";"4965"
"Groningen (PV)";"20 tot 30 jaar";"43551";"41584"
"Groningen (PV)";"30 tot 40 jaar";"37056";"35184"
"Groningen (PV)";"40 tot 50 jaar";"42471";"41528"
"Groningen (PV)";"50 tot 60 jaar";"39695";"38870"
"Groningen (PV)";"60 tot 70 jaar";"32824";"32438"
"Groningen (PV)";"70 tot 80 jaar";"17754";"21125"
"Groningen (PV)";"80 tot 90 jaar";"7259";"13486"
"Groningen (PV)";"90 jaar of ouder";"763";"2777"
"Friesland (PV)";"16 jaar";"4110";"4020"
"Friesland (PV)";"17 jaar";"4248";"4001"
"Friesland (PV)";"18 jaar";"4363";"3946"
"Friesland (PV)";"19 jaar";"4190";"3593"
"Friesland (PV)";"20 tot 30 jaar";"37622";"34647"
"Friesland (PV)";"30 tot 40 jaar";"40146";"38542"
"Friesland (PV)";"40 tot 50 jaar";"49631";"48135"
"Friesland (PV)";"50 tot 60 jaar";"44749";"44206"
"Friesland (PV)";"60 tot 70 jaar";"38906";"38216"
"Friesland (PV)";"70 tot 80 jaar";"21527";"24719"
"Friesland (PV)";"80 tot 90 jaar";"8416";"15119"
"Friesland (PV)";"90 jaar of ouder";"921";"2982"
"Drenthe (PV)";"16 jaar";"3039";"3047"
"Drenthe (PV)";"17 jaar";"3077";"2905"
"Drenthe (PV)";"18 jaar";"2856";"2711"
"Drenthe (PV)";"19 jaar";"2820";"2392"
"Drenthe (PV)";"20 tot 30 jaar";"23765";"22032"
"Drenthe (PV)";"30 tot 40 jaar";"28607";"29214"
"Drenthe (PV)";"40 tot 50 jaar";"38565";"38274"
"Drenthe (PV)";"50 tot 60 jaar";"35876";"35675"
"Drenthe (PV)";"60 tot 70 jaar";"30825";"30943"
"Drenthe (PV)";"70 tot 80 jaar";"17614";"20840"
"Drenthe (PV)";"80 tot 90 jaar";"7130";"12220"
"Drenthe (PV)";"90 jaar of ouder";"773";"2287"
"Overijssel (PV)";"16 jaar";"7278";"7153"
"Overijssel (PV)";"17 jaar";"7281";"7047"
"Overijssel (PV)";"18 jaar";"7355";"6683"
"Overijssel (PV)";"19 jaar";"7400";"6624"
"Overijssel (PV)";"20 tot 30 jaar";"72119";"65892"
"Overijssel (PV)";"30 tot 40 jaar";"74720";"72332"
"Overijssel (PV)";"40 tot 50 jaar";"87137";"83455"
"Overijssel (PV)";"50 tot 60 jaar";"74732";"73025"
"Overijssel (PV)";"60 tot 70 jaar";"61262";"61205"
"Overijssel (PV)";"70 tot 80 jaar";"34929";"42282"
"Overijssel (PV)";"80 tot 90 jaar";"13370";"24624"
"Overijssel (PV)";"90 jaar of ouder";"1170";"4207"
"Flevoland (PV)";"16 jaar";"2836";"2713"
"Flevoland (PV)";"17 jaar";"2898";"2671"
"Flevoland (PV)";"18 jaar";"2872";"2654"
"Flevoland (PV)";"19 jaar";"2773";"2484"
"Flevoland (PV)";"20 tot 30 jaar";"25058";"24403"
"Flevoland (PV)";"30 tot 40 jaar";"26682";"28172"
"Flevoland (PV)";"40 tot 50 jaar";"32467";"32103"
"Flevoland (PV)";"50 tot 60 jaar";"25920";"25247"
"Flevoland (PV)";"60 tot 70 jaar";"16292";"15938"
"Flevoland (PV)";"70 tot 80 jaar";"7397";"8654"
"Flevoland (PV)";"80 tot 90 jaar";"2970";"4795"
"Flevoland (PV)";"90 jaar of ouder";"275";"740"
"Gelderland (PV)";"16 jaar";"12911";"12457"
"Gelderland (PV)";"17 jaar";"13020";"12217"
"Gelderland (PV)";"18 jaar";"13157";"12589"
"Gelderland (PV)";"19 jaar";"12800";"12379"
"Gelderland (PV)";"20 tot 30 jaar";"114636";"112602"
"Gelderland (PV)";"30 tot 40 jaar";"124487";"125285"
"Gelderland (PV)";"40 tot 50 jaar";"157945";"154862"
"Gelderland (PV)";"50 tot 60 jaar";"138708";"137981"
"Gelderland (PV)";"60 tot 70 jaar";"112979";"115142"
"Gelderland (PV)";"70 tot 80 jaar";"62390";"75859"
"Gelderland (PV)";"80 tot 90 jaar";"24099";"44371"
"Gelderland (PV)";"90 jaar of ouder";"2325";"7875"
"Utrecht (PV)";"16 jaar";"7328";"6982"
"Utrecht (PV)";"17 jaar";"7351";"7138"
"Utrecht (PV)";"18 jaar";"7531";"7683"
"Utrecht (PV)";"19 jaar";"7675";"8383"
